Date : 2026-05-22 00:59:59
Directory : h:\tools\cyclemetry
Total : 286 files,  314578 codes, 5844 comments, 8368 blanks, all 328790 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateSaveStatus.js          | JavaScript         |         31 |         19 |          8 |         58 |
| h:\tools\cyclemetry\app\src\features\template-manager\index.js                                | JavaScript         |          4 |          4 |          2 |         10 |
| h:\tools\cyclemetry\app\src\features\template-manager\utils\templateFileUtils.js              | JavaScript         |         14 |         22 |          4 |         40 |
| h:\tools\cyclemetry\app\src\features\template-manager\utils\templateSnapshot.js               | JavaScript         |        164 |         59 |         33 |        256 |
| h:\tools\cyclemetry\app\src\features\video-preview\data\videoPreviewConstants.js              | JavaScript         |          9 |         17 |         10 |         36 |
| h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoImport.js                    | JavaScript         |         62 |         20 |          8 |         90 |
| h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPlaybackClock.js             | JavaScript         |        140 |         36 |         35 |        211 |
| h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPreview.js                   | JavaScript         |        253 |         63 |         49 |        365 |
| h:\tools\cyclemetry\app\src\features\video-preview\index.js                                   | JavaScript         |          3 |          4 |          2 |          9 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\ElevationWidgetEditor.jsx       | JavaScript JSX     |        272 |         13 |          5 |        290 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\GradientWidgetEditor.jsx        | JavaScript JSX     |         72 |         11 |          6 |         89 |
