"filename", "language", "Rust", "YAML", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "HTML", "JSON", "Ignore", "comment", "blank", "total"
"h:\tools\cyclemetry\app\src\features\app-shell\components\EditorToolbar.jsx", "JavaScript JSX", 0, 0, 0, 112, 0, 0, 0, 0, 0, 21, 5, 138
"h:\tools\cyclemetry\app\src\features\app-shell\components\ErrorAlert.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 6, 43
"h:\tools\cyclemetry\app\src\features\app-shell\components\LoadingOverlay.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 18, 4, 47
"h:\tools\cyclemetry\app\src\features\app-shell\components\OnboardingState.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 7, 6, 68
"h:\tools\cyclemetry\app\src\features\app-shell\components\TitleBar.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 4, 43
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useActivityImport.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 22, 8, 62
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useAppBootstrap.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 13, 7, 47
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useBackendStatus.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 8, 16, 94
"h:\tools\cyclemetry\app\src\features\app-shell\hooks\useEditorShellState.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 34, 14, 105
"h:\tools\cyclemetry\app\src\features\app-shell\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 2, 16
"h:\tools\cyclemetry\app\src\features\app-shell\utils\backendDebug.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 22, 12, 72
"h:\tools\cyclemetry\app\src\features\app-shell\utils\templateGroups.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 16, 8, 71
"h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayCanvas.jsx", "JavaScript JSX", 0, 0, 0, 240, 0, 0, 0, 0, 0, 19, 16, 275
